County/City,Ward,Pct,"Yesli Isabel Vega","Derrick Martin Anderson","Bryce E. Reeves","Crystal L. Vanuch","David Ross","Gina Renee Ciarcia","All Others","Total Votes Cast"
"Greene County",-,"##ev - Central Absentee Precinct",41,65,48,26,55,4,0,239
"Greene County",-,"##pe - Central Absentee Precinct",0,1,3,1,0,0,0,5
"Greene County",-,Provisional,3,1,1,0,0,0,0,5
"King George County",-,"101 - Courthouse",35,44,19,32,10,3,0,143
"King George County",-,"102 - Passapatanzy",43,32,31,54,4,3,0,167
"King George County",-,"201 - Monroe",70,124,42,98,12,3,0,349
"King George County",-,"301 - Dahlgren",64,78,55,39,9,13,0,258
"King George County",-,"401 - Shiloh",90,82,55,50,17,4,0,298
"King George County",-,"##ab - Central Absentee Precinct",7,17,21,10,11,3,0,69
"King George County",-,"##ev - Central Absentee Precinct",69,157,77,41,11,18,0,373
"King George County",-,"##pe - Central Absentee Precinct",0,2,1,0,0,0,0,3
"King George County",-,Provisional,1,0,0,0,0,0,0,1
"Madison County",-,"1 - Oak Park",16,17,11,3,4,1,0,52
"Madison County",-,"2 - Radiant",24,30,32,11,11,3,0,111
"Madison County",-,"3 - Rochelle",23,21,23,5,6,3,0,81
"Madison County",-,"4 - Graves Mill",5,3,5,0,1,0,0,14
"Madison County",-,"5 - Madison",42,50,28,9,4,1,0,134
"Madison County",-,"6 - Wolftown",13,44,23,5,8,0,0,93
"Madison County",-,"7 - Brightwood",52,50,32,20,5,3,0,162
"Madison County",-,"8 - Criglersville",18,22,13,5,1,1,0,60
"Madison County",-,"9 - Etlan",15,15,8,6,0,14,0,58
"Madison County",-,"##ab - Central Absentee Precinct",7,6,7,3,2,2,0,27
"Madison County",-,"##ev - Central Absentee Precinct",19,78,58,15,19,2,0,191
"Madison County",-,"##pe - Central Absentee Precinct",0,0,0,0,0,0,0,0
"Madison County",-,Provisional,0,0,0,0,0,0,0,0
"Orange County",-,"101 - One West",86,42,63,14,5,5,0,215
"Orange County",-,"102 - One East",55,35,48,8,5,4,0,155
"Orange County",-,"103 - One Town",22,19,17,6,2,2,0,68
"Orange County",-,"201 - Two West",52,43,64,15,7,9,0,190
"Orange County",-,"202 - Two East",138,50,81,34,13,3,0,319
"Orange County",-,"301 - Three West",9,13,18,1,0,1,0,42
"Orange County",-,"302 - Three East",42,38,36,7,2,1,0,126
"Orange County",-,"303 - Three Town",63,34,67,7,3,0,0,174
"Orange County",-,"401 - Four West",103,51,79,12,5,6,0,256
"Orange County",-,"402 - Four East",76,31,24,15,8,1,0,155
"Orange County",-,"501 - Five South",121,48,102,43,10,5,0,329
"Orange County",-,"502 - Five North",130,62,145,52,15,10,0,414
"Orange County",-,"##ab - Central Absentee Precinct",15,22,71,5,6,5,0,124
"Orange County",-,"##ev - Central Absentee Precinct",46,41,99,14,14,12,0,226
"Orange County",-,"##pe - Central Absentee Precinct",2,0,3,0,0,0,0,5
"Orange County",-,Provisional,0,0,2,1,0,0,0,3
"Prince William County",-,"201 - Hylton",92,23,9,12,3,5,0,144
"Prince William County",-,"207 - Spriggs",145,22,8,7,2,5,0,189
"Prince William County",-,"208 - Colgan",141,12,9,4,2,1,0,169
"Prince William County",-,"215 - Rosa Parks",57,17,16,4,0,6,0,100
"Prince William County",-,"301 - Dumfries",25,7,7,5,4,8,0,56
"Prince William County",-,"302 - Potomac",12,11,7,7,3,10,0,50
"Prince William County",-,"303 - Graham Park",22,3,4,3,3,3,0,38
"Prince William County",-,"304 - Quantico",7,10,2,5,0,4,0,28
"Prince William County",-,"305 - Forest Park",91,23,13,19,2,14,0,162
"Prince William County",-,"306 - Four Seasons",77,36,29,25,1,21,0,189
"Prince William County",-,"307 - Henderson",136,21,17,11,0,7,0,192
"Prince William County",-,"308 - Montclair",70,19,12,17,1,9,0,128
"Prince William County",-,"309 - Ashland",107,11,4,17,1,12,0,152
"Prince William County",-,"310 - Pw Forest Park",50,8,6,9,1,13,0,87
"Prince William County",-,"311 - Swans Creek",39,16,14,7,6,12,0,94
"Prince William County",-,"312 - Triangle",59,24,24,27,5,13,0,152
"Prince William County",-,"313 - Cardinal",65,23,17,8,5,10,0,128
"Prince William County",-,"314 - Cabin Branch",57,22,14,10,1,1,0,105
"Prince William County",-,"315 - Williams",22,6,7,6,0,8,0,49
"Prince William County",-,"316 - Potomac Shores",17,6,5,6,4,17,0,55
"Prince William County",-,"501 - Springwoods",74,18,10,14,9,6,0,131
"Prince William County",-,"502 - Occoquan",49,15,9,12,3,5,0,93
"Prince William County",-,"503 - Mohican",43,11,12,8,4,1,0,79
"Prince William County",-,"504 - Rockledge",75,32,13,15,6,3,0,144
"Prince William County",-,"505 - Lake Ridge",108,28,10,20,3,8,0,177
"Prince William County",-,"506 - Old Bridge",73,10,1,13,1,1,0,99
"Prince William County",-,"507 - Chinn",51,14,17,9,6,4,0,101
"Prince William County",-,"510 - County Center",6,3,0,0,2,0,0,11
"Prince William County",-,"511 - Westridge",98,44,12,11,1,17,0,183
"Prince William County",-,"512 - York",12,3,4,4,0,2,0,25
"Prince William County",-,"513 - Woodbridge",149,42,15,13,3,5,0,227
"Prince William County",-,"514 - Antietam",92,20,7,14,1,4,0,138
"Prince William County",-,"516 - Kerrydale",13,7,1,2,0,1,0,24
"Prince William County",-,"601 - Dale",23,22,12,6,5,5,0,73
"Prince William County",-,"602 - Beville",51,26,13,4,2,9,0,105
"Prince William County",-,"603 - Hampton",30,24,10,6,4,5,0,79
"Prince William County",-,"604 - Gar-Field",27,6,6,13,0,8,0,60
"Prince William County",-,"605 - Minnieville",40,8,12,6,3,1,0,70
"Prince William County",-,"606 - Bel Air",50,21,13,7,4,3,0,98
"Prince William County",-,"607 - Jenkins",45,13,14,6,5,1,0,84
"Prince William County",-,"608 - Enterprise",108,21,10,8,6,12,0,165
"Prince William County",-,"609 - King",44,2,15,6,3,3,0,73
"Prince William County",-,"610 - Fitzgerald",37,16,10,5,0,3,0,71
"Prince William County",-,"611 - Neabsco",52,21,11,6,6,3,0,99
"Prince William County",-,"612 - Elm Farm",41,14,9,6,2,4,0,76
"Prince William County",-,"613 - Hoadly",8,5,4,2,0,0,0,19
"Prince William County",-,"614 - Mcauliffe",66,21,15,8,0,4,0,114
"Prince William County",-,"615 - Commons",4,1,1,0,0,0,0,6
"Prince William County",-,"616 - Markham",3,2,1,0,0,2,0,8
"Prince William County",-,"701 - Belmont",93,38,10,12,5,11,0,169
"Prince William County",-,"702 - Library",33,20,9,9,1,10,0,82
"Prince William County",-,"703 - Lynn",7,2,5,6,1,3,0,24
"Prince William County",-,"704 - Porter",17,10,7,3,0,2,0,39
"Prince William County",-,"705 - Potomac View",49,17,9,8,1,6,0,90
"Prince William County",-,"706 - Rippon",43,12,15,11,3,19,0,103
"Prince William County",-,"707 - Kilby",34,15,7,10,1,4,0,71
"Prince William County",-,"708 - River Oaks",19,10,2,6,3,17,0,57
"Prince William County",-,"709 - Freedom",20,7,1,2,3,5,0,38
