County/City,Ward,Pct,"Jill Holtzman Vogel","Bryce E. Reeves","Glenn Ray Davis, Jr.","All Others","Total Votes Cast"
"Westmoreland County",-,"102 - Precinct 1-2",17,12,2,0,31
"Westmoreland County",-,"201 - Precinct 2-1",85,39,20,0,144
"Westmoreland County",-,"202 - Precinct 2-2",52,30,7,0,89
"Westmoreland County",-,"301 - Precinct 3-1",35,29,14,0,78
"Westmoreland County",-,"302 - Precinct 3-2",17,19,7,0,43
"Westmoreland County",-,"401 - Precinct 4-1",84,80,27,0,191
"Westmoreland County",-,"501 - Precinct 5-1",95,58,28,0,181
"Westmoreland County",-,"Ab - Central Absentee Precinct",16,13,2,0,31
"Westmoreland County",-,Provisional,0,0,0,0,0
"Williamsburg City",-,"1 - Stryker",131,91,34,0,256
"Williamsburg City",-,"2 - Matoaka",117,101,36,0,254
"Williamsburg City",-,"Ab - Central Absentee Precinct",22,22,6,0,50
"Williamsburg City",-,Provisional,1,0,0,0,1
"Winchester City",-,"101 - Merrimans",201,35,19,0,255
"Winchester City",-,"102 - Old Town",170,22,15,0,207
"Winchester City",-,"201 - Virginia Avenue",88,4,7,0,99
"Winchester City",-,"301 - War Memorial",98,27,13,0,138
"Winchester City",-,"401 - Frederick Douglass",42,21,3,0,66
"Winchester City",-,"402 - Rolling Hills",169,33,12,0,214
"Winchester City",-,"Ab - Central Absentee Precinct",30,6,2,0,38
"Winchester City",-,Provisional,0,0,0,0,0
"Wise County",-,"101 - Appalachia",11,14,10,0,35
"Wise County",-,"102 - Dorchester",20,10,8,0,38
"Wise County",-,"103 - Guest River Voting Place",6,15,12,0,33
"Wise County",-,"104 - West Pound",21,27,20,0,68
"Wise County",-,"201 - North Coeburn",12,21,18,0,51
"Wise County",-,"202 - Wise",40,39,28,0,107
"Wise County",-,"203 - East Pound",10,3,6,0,19
"Wise County",-,"301 - Big Stone Gap",20,45,32,0,97
"Wise County",-,"302 - East Stone Gap",27,58,16,0,101
"Wise County",-,"401 - Clinch Valley",36,26,15,0,77
"Wise County",-,"402 - South Coeburn",19,38,29,0,86
"Wise County",-,"403 - St Paul",13,13,12,0,38
"Wise County",-,"Ab - Central Absentee Precinct",14,11,12,0,37
"Wise County",-,Provisional,0,0,0,0,0
"Wythe County",-,"101 - Royal Oak",11,17,5,0,33
"Wythe County",-,"102 - Rural Retreat",54,105,13,0,172
"Wythe County",-,"203 - West Wytheville",58,102,11,0,171
"Wythe County",-,"303 - East Wytheville",67,115,22,0,204
"Wythe County",-,"401 - Fort Chiswell",24,53,10,0,87
"Wythe County",-,"402 - Max Meadows",19,65,17,0,101
"Wythe County",-,"501 - Jackson Memorial",21,26,12,0,59
"Wythe County",-,"502 - Sheffey",14,78,12,0,104
"Wythe County",-,"601 - Huddle",15,18,7,0,40
"Wythe County",-,"602 - Zion",31,40,9,0,80
"Wythe County",-,"603 Evergreen",17,36,11,0,64
"Wythe County",-,"Ab - Central Absentee Precinct",9,18,4,0,31
"Wythe County",-,Provisional,0,0,0,0,0
"York County",-,"101 - Queens Lake",108,119,40,0,267
"York County",-,"102 - Waller Mill",105,144,44,0,293
"York County",-,"103 - Magruder",78,91,23,0,192
