,id_string,"Andrew G. ""Andy"" Baan  Republican",Jarome Bell  Republican,Jen A. Kiggans  Republican,L. Tommy Altman III  Republican,Precinct_#,County
8,601 - COURTLAND (02),4,31,25,10,601 ,SOUTHAMPTON_COUNTY
9,602 - SEDLEY (02),1,19,27,7,602 ,SOUTHAMPTON_COUNTY
10,701 - BLACKWATER RIVER (02),1,10,9,0,701 ,SOUTHAMPTON_COUNTY
11,702 - NEWSOMS (02),2,8,7,0,702 ,SOUTHAMPTON_COUNTY
12,Member House of Representatives (02),1237,11330,23300,5972,Memb,SOUTHAMPTON_COUNTY
13,Member House of Representatives (02) - SOUTHAMPTON COUNTY,17,207,215,40,Memb,SOUTHAMPTON_COUNTY
0,# AB - Central Absentee Precinct (02),26,38,99,31,# AB,SUFFOLK_CITY
1,# EV - Central Absentee Precinct (02),16,122,117,40,# EV,SUFFOLK_CITY
2,# PE - Central Absentee Precinct (02),2,2,10,1,# PE,SUFFOLK_CITY
3,## Provisional (02),0,2,2,0,## P,SUFFOLK_CITY
4,101 - BELLEHARBOUR (02),0,28,37,5,101 ,SUFFOLK_CITY
5,102 - DRIVER (02),9,129,247,97,102 ,SUFFOLK_CITY
6,104 - BENNETTS CREEK (02),5,67,78,32,104 ,SUFFOLK_CITY
7,201 - EBENEZER (02),16,102,195,31,201 ,SUFFOLK_CITY
8,202 - CHUCKATUCK (02),12,79,98,30,202 ,SUFFOLK_CITY
9,203 - KINGS FORK (02),3,39,65,59,203 ,SUFFOLK_CITY
10,204 - HILLPOINT (02),3,32,45,5,204 ,SUFFOLK_CITY
11,301 - WHITE MARSH (02),2,23,18,5,301 ,SUFFOLK_CITY
12,302 - JOHN F KENNEDY (02),3,20,13,4,302 ,SUFFOLK_CITY
13,304 - NANSEMOND RIVER (02),9,48,57,21,304 ,SUFFOLK_CITY
14,305 - SHOULDERS HILL (02),4,28,14,6,305 ,SUFFOLK_CITY
15,401 - AIRPORT (02),5,51,60,9,401 ,SUFFOLK_CITY
16,402 - WHALEYVILLE (02),3,107,84,18,402 ,SUFFOLK_CITY
17,403 - SOUTHSIDE (02),1,2,5,3,403 ,SUFFOLK_CITY
18,404 - BOOKER T WASHINGTON (02),0,3,2,2,404 ,SUFFOLK_CITY
19,405 - PITTMANTOWN (02),4,25,25,5,405 ,SUFFOLK_CITY
20,501 - KILBYS MILL (02),8,88,88,20,501 ,SUFFOLK_CITY
21,502 - HOLLAND (02),6,107,73,11,502 ,SUFFOLK_CITY
22,504 - LAKE COHOON (02),10,140,153,43,504 ,SUFFOLK_CITY
23,601 - LAKESIDE (02),7,58,74,28,601 ,SUFFOLK_CITY
24,602 - OLDE TOWNE (02),1,11,14,1,602 ,SUFFOLK_CITY
25,603 - ELEPHANTS FORK/WESTHAVEN (02),3,25,14,2,603 ,SUFFOLK_CITY
26,604 - WILROY (02),0,43,33,17,604 ,SUFFOLK_CITY
27,605 - HOLLYWOOD (02),0,1,0,0,605 ,SUFFOLK_CITY
28,702 - HARBOURVIEW (02),8,58,97,15,702 ,SUFFOLK_CITY
29,704 - BURBAGE GRANT (02),6,48,49,11,704 ,SUFFOLK_CITY
30,706 - HUNTERSVILLE (02),3,23,22,3,706 ,SUFFOLK_CITY
31,Member House of Representatives (02),1237,11330,23300,5972,Memb,SUFFOLK_CITY
32,Member House of Representatives (02) - SUFFOLK CITY,175,1549,1888,555,Memb,SUFFOLK_CITY
0,# AB - Central Absentee Precinct (02),154,228,1118,167,# AB,VIRGINIA_BEACH_CITY
1,# EV - Central Absentee Precinct (02),44,301,958,256,# EV,VIRGINIA_BEACH_CITY
2,# PE - Central Absentee Precinct (02),8,31,112,20,# PE,VIRGINIA_BEACH_CITY
3,## Provisional (02),0,5,24,4,## P,VIRGINIA_BEACH_CITY
4,001 - NORTH BEACH (02),4,69,335,35,001 ,VIRGINIA_BEACH_CITY
5,002 - SOUTH BEACH (02),4,39,105,20,002 ,VIRGINIA_BEACH_CITY
6,003 - OCEAN LAKES (02),2,38,77,19,003 ,VIRGINIA_BEACH_CITY
7,004 - LINKHORN (02),4,53,249,39,004 ,VIRGINIA_BEACH_CITY
8,005 - SEATACK (02),4,31,55,13,005 ,VIRGINIA_BEACH_CITY
9,006 - ALANTON (02),9,78,221,46,006 ,VIRGINIA_BEACH_CITY
10,007 - KINGSTON (02),5,47,203,28,007 ,VIRGINIA_BEACH_CITY
11,008 - LONDON BRIDGE (02),9,49,104,26,008 ,VIRGINIA_BEACH_CITY
12,009 - TRANTWOOD (02),12,84,309,19,009 ,VIRGINIA_BEACH_CITY
13,010 - GREAT NECK (02),8,75,362,28,010 ,VIRGINIA_BEACH_CITY
14,011 - CAPE HENRY (02),13,58,318,35,011 ,VIRGINIA_BEACH_CITY
15,012 - PLAZA (02),8,31,104,18,012 ,VIRGINIA_BEACH_CITY
16,013 - MT TRASHMORE (02),6,64,199,36,013 ,VIRGINIA_BEACH_CITY
17,014 - MALIBU (02),5,57,175,23,014 ,VIRGINIA_BEACH_CITY
18,015 - OLD DONATION (02),4,43,77,11,015 ,VIRGINIA_BEACH_CITY
19,016 - ARAGONA (02),9,71,128,16,016 ,VIRGINIA_BEACH_CITY
20,017 - OCEAN PARK (02),3,42,170,12,017 ,VIRGINIA_BEACH_CITY
21,018 - THOROUGHGOOD (02),2,50,299,35,018 ,VIRGINIA_BEACH_CITY
22,019 - LAKE SMITH (02),8,38,156,11,019 ,VIRGINIA_BEACH_CITY
23,020 - BAYSIDE (02),1,64,125,20,020 ,VIRGINIA_BEACH_CITY
24,021 - DAVIS CORNER (02),5,15,43,6,021 ,VIRGINIA_BEACH_CITY
25,022 - POINT O VIEW (02),4,37,174,23,022 ,VIRGINIA_BEACH_CITY
26,023 - ARROWHEAD (02),5,68,127,19,023 ,VIRGINIA_BEACH_CITY
27,024 - LARKSPUR (02),3,27,134,28,024 ,VIRGINIA_BEACH_CITY
28,025 - AVALON (02),7,60,181,52,025 ,VIRGINIA_BEACH_CITY
29,026 - FAIRFIELD (02),6,58,207,45,026 ,VIRGINIA_BEACH_CITY
30,027 - EDWIN (02),6,59,232,34,027 ,VIRGINIA_BEACH_CITY
31,028 - THALIA (02),6,55,166,22,028 ,VIRGINIA_BEACH_CITY
32,029 - HOLLAND (02),2,45,49,4,029 ,VIRGINIA_BEACH_CITY
33,030 - RED WING (02),4,51,145,73,030 ,VIRGINIA_BEACH_CITY
34,031 - SIGMA (02),6,64,197,149,031 ,VIRGINIA_BEACH_CITY
35,032 - CREEDS (02),1,57,91,70,032 ,VIRGINIA_BEACH_CITY
36,033 - CAPPS SHOP (02),1,57,119,47,033 ,VIRGINIA_BEACH_CITY
37,034 - BLACKWATER (02),2,23,65,34,034 ,VIRGINIA_BEACH_CITY
38,035 - COURTHOUSE (02),4,57,197,82,035 ,VIRGINIA_BEACH_CITY
39,036 - WINDSOR OAKS (02),4,54,95,14,036 ,VIRGINIA_BEACH_CITY
40,037 - CHESAPEAKE BEACH (02),9,42,103,23,037 ,VIRGINIA_BEACH_CITY
