County/City,Ward,Pct,"Jennifer Ann Kiggans","Jarome Bell","Larry Thomas Altman, III","Andrew George Baan","All Others","Total Votes Cast"
"Suffolk City",-,"502 - Holland",73,107,11,6,0,197
"Suffolk City",-,"504 - Lake Cohoon",153,140,43,10,0,346
"Suffolk City",-,"601 - Lakeside",74,58,28,7,0,167
"Suffolk City",-,"602 - Olde Towne",14,11,1,1,0,27
"Suffolk City",-,"603 - Elephants Fork/westhaven",14,25,2,3,0,44
"Suffolk City",-,"604 - Wilroy",33,43,17,0,0,93
"Suffolk City",-,"605 - Hollywood",0,1,0,0,0,1
"Suffolk City",-,"702 - Harbourview",97,58,15,8,0,178
"Suffolk City",-,"704 - Burbage Grant",49,48,11,6,0,114
"Suffolk City",-,"706 - Huntersville",22,23,3,3,0,51
"Suffolk City",-,"##ab - Central Absentee Precinct",99,38,31,26,0,194
"Suffolk City",-,"##ev - Central Absentee Precinct",117,122,40,16,0,295
"Suffolk City",-,"##pe - Central Absentee Precinct",10,2,1,2,0,15
"Suffolk City",-,Provisional,2,2,0,0,0,4
"Virginia Beach City",-,"1 - North Beach",335,69,35,4,0,443
"Virginia Beach City",-,"2 - South Beach",105,39,20,4,0,168
"Virginia Beach City",-,"3 - Ocean Lakes",77,38,19,2,0,136
"Virginia Beach City",-,"4 - Linkhorn",249,53,39,4,0,345
"Virginia Beach City",-,"5 - Seatack",55,31,13,4,0,103
"Virginia Beach City",-,"6 - Alanton",221,78,46,9,0,354
"Virginia Beach City",-,"7 - Kingston",203,47,28,5,0,283
"Virginia Beach City",-,"8 - London Bridge",104,49,26,9,0,188
"Virginia Beach City",-,"9 - Trantwood",309,84,19,12,0,424
"Virginia Beach City",-,"10 - Great Neck",362,75,28,8,0,473
"Virginia Beach City",-,"11 - Cape Henry",318,58,35,13,0,424
"Virginia Beach City",-,"12 - Plaza",104,31,18,8,0,161
"Virginia Beach City",-,"13 - Mt Trashmore",199,64,36,6,0,305
"Virginia Beach City",-,"14 - Malibu",175,57,23,5,0,260
"Virginia Beach City",-,"15 - Old Donation",77,43,11,4,0,135
"Virginia Beach City",-,"16 - Aragona",128,71,16,9,0,224
"Virginia Beach City",-,"17 - Ocean Park",170,42,12,3,0,227
"Virginia Beach City",-,"18 - Thoroughgood",299,50,35,2,0,386
"Virginia Beach City",-,"19 - Lake Smith",156,38,11,8,0,213
"Virginia Beach City",-,"20 - Bayside",125,64,20,1,0,210
"Virginia Beach City",-,"21 - Davis Corner",43,15,6,5,0,69
"Virginia Beach City",-,"22 - Point O View",174,37,23,4,0,238
"Virginia Beach City",-,"23 - Arrowhead",127,68,19,5,0,219
"Virginia Beach City",-,"24 - Larkspur",134,27,28,3,0,192
"Virginia Beach City",-,"25 - Avalon",181,60,52,7,0,300
"Virginia Beach City",-,"26 - Fairfield",207,58,45,6,0,316
"Virginia Beach City",-,"27 - Edwin",232,59,34,6,0,331
"Virginia Beach City",-,"28 - Thalia",166,55,22,6,0,249
"Virginia Beach City",-,"29 - Holland",49,45,4,2,0,100
"Virginia Beach City",-,"30 - Red Wing",145,51,73,4,0,273
"Virginia Beach City",-,"31 - Sigma",197,64,149,6,0,416
"Virginia Beach City",-,"32 - Creeds",91,57,70,1,0,219
"Virginia Beach City",-,"33 - Capps Shop",119,57,47,1,0,224
