County/City,Ward,Pct,"Barbara Jean Comstock","Wayshak Edward Hill","All Others","Total Votes Cast"
"Loudoun County",-,"820 - Belmont Station",76,69,0,145
"Loudoun County",-,"822 - Riverside",67,44,0,111
"Loudoun County",-,"Ab - Central Absentee Precinct",391,226,0,617
"Loudoun County",-,Provisional,5,5,0,10
"Manassas City",-,"1 - Dean",91,96,0,187
"Manassas City",-,"2 - Weems",184,124,0,308
"Manassas City",-,"3 - Metz",155,132,0,287
"Manassas City",-,"4 - Haydon",186,95,0,281
"Manassas City",-,"5 - Baldwin",123,87,0,210
"Manassas City",-,"6 - Round",199,143,0,342
"Manassas City",-,"Ab - Central Absentee Precinct",108,52,0,160
"Manassas City",-,Provisional,0,2,0,2
"Manassas Park City",-,"1 - Precinct One",49,54,0,103
"Manassas Park City",-,"2 - Precinct Two",49,70,0,119
"Manassas Park City",-,"3 - Precinct Three",66,72,0,138
"Manassas Park City",-,"Ab - Central Absentee Precinct",29,9,0,38
"Manassas Park City",-,Provisional,0,0,0,0
"Prince William County",-,"110 - Buckland Mills",49,71,0,120
"Prince William County",-,"112 - Burke-nickens",81,143,0,224
"Prince William County",-,"205 - Buckhall",179,151,0,330
"Prince William County",-,"211 - Signal Hill",118,148,0,266
"Prince William County",-,"212 - Yorkshire",96,94,0,190
"Prince William County",-,"401 - Evergreen",188,197,0,385
"Prince William County",-,"402 - Battlefield",204,179,0,383
"Prince William County",-,"403 - Bull Run",81,84,0,165
"Prince William County",-,"406 - Alvey",163,92,0,255
"Prince William County",-,"407 - Heritage Hunt",414,346,3,763
"Prince William County",-,"409 - Tyler",72,102,0,174
"Prince William County",-,"410 - Mountain View",152,136,0,288
"Prince William County",-,"412 - Catharpin",117,148,0,265
"Prince William County",-,"413 - Reagan",160,157,0,317
"Prince William County",-,"510 - Yates Ford",176,122,0,298
"Prince William County",-,"Ab - Central Absentee Precinct",188,114,0,302
"Prince William County",-,Provisional,1,0,0,1
"Winchester City",-,"101 - Merrimans",207,104,0,311
"Winchester City",-,"102 - Old Town",150,96,0,246
"Winchester City",-,"201 - Virginia Avenue",65,64,0,129
"Winchester City",-,"301 - War Memorial",83,94,0,177
"Winchester City",-,"401 - Frederick Douglass",48,43,0,91
"Winchester City",-,"402 - Rolling Hills",141,100,0,241
"Winchester City",-,"Ab - Central Absentee Precinct",41,25,0,66
"Winchester City",-,Provisional,0,0,0,0
TOTALS,,,"28,287","18,311",3,"46,601"
