"","pct","donald_j_trump","marco_rubio","rafael_edward_cruz","john_kasich","benjamin_s_carson_sr","jeb_bush","rand_paul","mike_huckabee","chris_christie","carly_fiorina","jim_gilmore","lindsey_graham","rick_santorum","all_others","fips"
"1345","701 - Ward Seven",88,34,31,1,11,1,0,0,1,0,0,0,0,0,"51670"
"1346","Ab - Central Absentee Precinct",16,11,10,4,0,1,0,0,0,0,0,0,0,0,"51670"
"1347","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51670"
"1348","101 - Smithfield",306,311,124,85,53,4,1,2,0,0,1,0,0,0,"51093"
"1349","102 - Cypress Creek",232,204,103,61,47,2,3,0,2,0,1,1,0,0,"51093"
"1350","201 - Bartlett",308,296,108,68,40,1,0,2,0,0,0,0,0,0,"51093"
"1351","202 - Carrollton",305,250,110,40,68,4,0,3,1,0,1,1,0,0,"51093"
"1352","301 - Rushmere",177,118,61,13,22,3,0,0,0,0,0,0,0,0,"51093"
"1353","302 - Pons",137,79,43,10,25,0,1,0,0,0,0,0,0,0,"51093"
"1354","401 - Courthouse",107,61,36,15,20,1,0,0,0,1,0,0,0,0,"51093"
"1355","402 - Windsor",193,148,44,17,34,3,1,0,1,0,1,0,0,0,"51093"
"1356","403 - Longview",159,112,49,16,27,0,0,0,0,0,0,0,1,0,"51093"
"1357","501 - Walters",136,66,48,10,7,0,2,0,0,0,0,0,0,0,"51093"
"1358","502 - Camps Mill",37,16,11,0,9,0,0,0,0,0,0,0,1,0,"51093"
"1359","503 - Carrsville",68,27,22,8,9,1,1,1,1,0,0,0,0,0,"51093"
"1360","504 - Zuni",189,85,43,16,24,0,1,1,0,0,0,1,0,0,"51093"
"1361","505 - Raynor",91,38,24,4,2,0,1,0,0,0,0,0,0,0,"51093"
"1362","Ab - Central Absentee Precinct",52,34,15,9,6,1,1,0,0,0,0,0,0,0,"51093"
"1363","Provisional",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"51093"
"1364","101 - Berkeley A",315,514,176,191,88,5,4,0,1,1,0,2,1,0,"51095"
"1365","102 - Berkeley B",180,210,108,62,40,2,1,0,0,1,0,0,2,0,"51095"
"1366","103 - Berkeley C",407,658,167,317,71,3,2,0,1,0,0,0,0,0,"51095"
"1367","201 - Jamestown A",59,97,36,20,16,0,0,0,0,0,0,0,0,0,"51095"
"1368","202 - Jamestown B",187,224,78,111,46,3,3,1,0,0,0,0,0,0,"51095"
"1369","203 - Jamestown C",201,329,109,128,45,3,2,0,0,0,1,2,1,0,"51095"
"1370","204 - Jamestown D",326,594,134,251,56,4,1,1,3,0,0,2,0,0,"51095"
"1371","301 - Powhatan A",333,499,134,269,50,3,3,3,0,0,0,0,0,0,"51095"
"1372","302 - Powhatan B",67,77,32,16,14,1,1,0,0,1,0,0,0,0,"51095"
"1373","303 - Powhatan C",152,107,59,30,19,1,1,0,1,0,0,0,0,0,"51095"
"1374","304 - Powhatan D",175,269,109,76,38,0,0,1,0,0,0,0,2,0,"51095"
"1375","401 - Stonehouse A",288,259,152,61,80,5,3,0,2,1,1,1,1,0,"51095"
"1376","402 - Stonehouse B",388,437,172,173,57,5,3,3,0,1,3,0,0,0,"51095"
"1377","403 - Stonehouse C",288,329,174,115,46,4,2,2,0,1,1,1,0,0,"51095"
"1378","501 - Roberts A",73,31,19,11,17,1,0,0,1,0,0,0,0,0,"51095"
"1379","502 - Roberts B",399,523,91,270,42,1,0,0,0,1,0,1,0,0,"51095"
"1380","503 - Roberts C",29,19,17,3,9,0,1,0,0,0,1,1,0,0,"51095"
"1381","504 - Roberts D",211,381,120,180,56,5,3,1,3,0,2,1,0,0,"51095"
"1382","Ab - Central Absentee Precinct",168,223,89,94,16,22,2,0,5,5,0,0,0,2,"51095"
"1383","Provisional",0,0,1,2,0,0,0,0,0,0,0,0,0,0,"51095"
"1384","101 - Owenton",56,17,25,3,10,1,0,1,0,0,0,0,0,0,"51097"
"1385","201 - Clarks",83,32,42,15,14,1,0,1,0,0,0,0,0,0,"51097"
"1386","301 - Shacklefords",98,51,16,6,6,0,0,0,1,0,0,0,0,0,"51097"
"1387","401 - Courthouse",73,37,25,4,7,0,0,0,0,0,0,0,0,0,"51097"
"1388","501 - Oldmill",95,41,26,7,17,0,0,0,1,0,0,0,0,0,"51097"
"1389","Ab - Central Absentee Precinct",6,9,3,2,1,0,0,0,0,0,2,0,0,0,"51097"
"1390","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51097"
"1391","101 - Courthouse",244,218,129,40,76,4,2,3,0,0,1,1,0,0,"51099"
"1392","102 - Passapatanzy",128,68,67,16,26,1,0,1,1,0,0,0,0,0,"51099"
"1393","201 - Monroe",398,319,218,92,104,2,1,2,0,0,1,0,1,0,"51099"
"1394","301 - Dahlgren",277,204,142,61,63,1,5,1,1,1,0,0,0,0,"51099"
"1395","401 - Shiloh",350,188,181,49,93,4,2,1,2,0,1,0,1,0,"51099"
"1396","Ab - Central Absentee Precinct",40,36,27,4,8,1,1,1,2,0,1,0,0,0,"51099"
"1397","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51099"
"1398","101 - West Point",220,117,72,26,41,3,2,3,1,1,1,1,1,1,"51101"
"1399","201 - Sweet Hall",84,43,35,10,17,0,0,0,0,0,0,0,0,0,"51101"
"1400","202 - Courthouse",104,68,65,5,17,0,0,0,0,0,0,1,0,0,"51101"
"1401","301 - Aylett",242,143,153,13,23,1,6,0,0,0,0,0,0,0,"51101"
"1402","401 - Manquin",236,134,160,14,36,2,3,1,2,0,0,0,0,0,"51101"
"1403","501 - Mangohick",231,130,149,15,25,2,2,1,2,0,0,0,0,0,"51101"
"1404","Ab - Central Absentee Precinct",16,11,13,5,0,0,0,0,0,0,0,0,0,0,"51101"
"1405","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51101"
"1406","101 - Precinct 1-1",202,111,47,44,25,1,0,0,0,0,0,1,0,0,"51103"
"1407","201 - Precinct 2-1",87,93,15,32,22,1,0,0,2,0,1,0,0,0,"51103"
"1408","301 - Precinct 3-1",155,125,41,39,25,1,2,0,0,0,1,0,0,0,"51103"
"1409","302 - Precinct 3-2",72,52,7,27,16,0,1,0,0,0,0,0,0,0,"51103"
"1410","401 - Precinct 4-1",107,66,15,14,13,1,0,0,0,0,1,0,0,0,"51103"
"1411","501 - Precinct 5-1",206,169,34,83,38,1,2,0,2,0,0,0,0,0,"51103"
"1412","Ab - Central Absentee Precinct",45,35,16,16,5,2,0,0,2,0,0,0,0,0,"51103"
"1413","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51103"
"1414","101 - Elydale",55,23,12,5,11,1,0,0,1,0,0,0,0,0,"51105"
"1415","102 - Ewing",71,24,20,2,2,1,0,0,0,0,0,0,0,0,"51105"
"1416","103 - Rose Hill",50,19,21,3,10,0,0,0,0,0,0,0,0,0,"51105"
"1417","201 - Blackwater",18,3,20,1,1,0,1,0,0,0,0,0,0,0,"51105"
"1418","202 - Flatwoods",57,17,44,3,8,0,0,1,0,0,0,0,0,0,"51105"
"1419","203 - Jonesville",136,47,42,12,16,1,0,1,0,0,0,0,0,0,"51105"
"1420","301 - Ben Hur",136,42,57,5,15,1,0,1,0,0,0,0,0,0,"51105"
"1421","302 - Woodway",87,20,24,5,7,0,0,0,0,0,0,0,0,0,"51105"
"1422","401 - Stickleyville",42,16,28,2,9,0,0,0,0,0,0,0,2,0,"51105"
"1423","402 - Jasper",58,11,11,1,6,1,0,0,0,0,0,0,0,0,"51105"
"1424","403 - Seminary",72,30,27,4,12,0,0,2,0,0,0,0,0,0,"51105"
"1425","404 - Dryden",101,23,21,4,5,0,0,0,0,0,0,1,0,0,"51105"
"1426","501 - Saint Charles",39,12,12,0,2,0,0,1,0,1,0,0,0,0,"51105"
"1427","502 - Pennington",90,33,36,11,11,0,0,0,0,0,0,0,0,0,"51105"
"1428","503 - Robbins Chapel",22,9,10,0,1,0,0,0,0,0,0,1,0,0,"51105"
"1429","504 - Keokee",32,9,6,2,6,0,0,0,0,3,0,0,0,0,"51105"
"1430","Ab - Central Absentee Precinct",23,4,5,8,2,0,0,0,0,0,0,0,1,0,"51105"
"1431","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51105"
"1432","1 - Lexington",106,231,46,105,25,5,0,0,0,1,0,0,0,0,"51678"
"1433","Ab - Central Absentee Precinct",3,11,4,4,5,2,0,0,0,0,0,0,0,0,"51678"
"1434","Provisional",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"51678"
"1435","107 - Little River",145,341,83,93,22,3,1,1,0,0,0,0,0,0,"51107"
"1436","108 - Mercer",162,229,77,51,22,1,5,0,0,0,1,0,0,0,"51107"
"1437","112 - Freedom",99,174,53,45,12,3,2,0,0,0,0,0,0,0,"51107"
"1438","114 - Dulles South",90,143,62,29,22,0,2,0,0,0,0,0,0,0,"51107"
"1439","117 - Carter",41,59,22,11,5,0,0,1,1,0,0,0,0,0,"51107"
"1440","118 - Moorefield",136,180,49,46,10,1,0,0,0,1,0,0,0,0,"51107"
"1441","119 - Arcola",230,335,100,50,32,1,3,0,1,2,1,0,0,0,"51107"
"1442","120 - Lunsford",153,263,55,59,16,4,2,0,0,0,0,0,0,0,"51107"
"1443","121 - Town Hall",113,175,58,36,25,3,0,0,1,0,2,0,0,0,"51107"
"1444","122 - Hutchison Farm",170,264,91,69,25,3,1,0,1,1,0,0,0,1,"51107"
"1445","123 - Cardinal Ridge",100,216,63,56,14,0,4,0,0,0,0,0,1,0,"51107"
"1446","124 - Liberty",121,120,45,31,18,1,0,2,0,0,0,0,0,0,"51107"
"1447","125 - Rock Ridge",112,151,41,29,12,1,2,0,0,0,0,0,2,0,"51107"
"1448","207 - River Bend",126,161,93,57,18,4,2,1,0,0,1,0,5,0,"51107"
"1449","208 - Algonkian",126,188,64,69,17,0,3,1,0,0,0,0,0,0,"51107"
"1450","209 - Potomac Falls",140,232,79,63,30,3,1,0,0,1,1,0,0,0,"51107"
"1451","210 - Cascades",191,255,96,77,25,3,3,1,0,2,1,0,1,0,"51107"
"1452","213 - Countryside",62,92,36,29,11,0,0,0,1,0,0,0,0,0,"51107"
"1453","214 - Sugarland North",215,334,96,160,46,3,1,1,1,1,0,1,0,0,"51107"
"1454","215 - Sugarland South",149,201,111,57,37,1,2,3,0,1,0,1,1,0,"51107"
"1455","216 - Lowes Island",201,270,70,106,19,1,2,1,1,0,0,0,1,0,"51107"
"1456","217 - South Bank",183,321,77,119,22,3,1,0,2,0,1,0,1,0,"51107"
"1457","218 - University Center",77,98,66,25,24,2,0,0,0,1,0,0,1,0,"51107"
"1458","219 - Galilee Church",129,154,79,42,25,0,4,0,0,0,0,1,0,0,"51107"
"1459","301 - Purcellville",224,445,141,111,35,1,3,1,2,1,0,1,0,0,"51107"
"1460","302 - Round Hill",236,309,144,65,53,4,3,0,2,0,0,0,0,0,"51107"
"1461","303 - Hillsboro",217,252,127,78,24,1,1,0,1,0,0,0,0,0,"51107"
"1462","305 - Philomont",98,143,68,43,22,1,0,0,1,0,0,0,0,0,"51107"
"1463","307 - Middleburg",94,95,39,45,11,2,2,0,0,0,0,0,0,0,"51107"
"1464","308 - St Louis",100,93,49,52,7,1,0,0,0,0,0,0,0,0,"51107"
"1465","309 - Aldie",81,93,45,33,12,0,1,0,0,0,0,0,0,0,"51107"
"1466","310 - Mountain View",218,385,174,52,50,3,1,1,2,0,0,0,0,0,"51107"
"1467","311 - Round Hill Elementary",186,310,147,57,44,1,2,0,0,0,2,1,0,0,"51107"
"1468","312 - Briar Woods",140,221,74,40,19,4,2,0,1,1,0,0,0,0,"51107"
"1469","313 - Pinebrook",244,381,131,75,37,3,2,1,0,0,0,1,0,0,"51107"
"1470","314 - Legacy",241,371,74,81,34,2,0,0,1,0,0,0,1,0,"51107"
"1471","315 - Firehouse",92,102,46,21,17,2,1,1,0,1,0,1,0,0,"51107"
"1472","316 - Creighton's Corner",214,330,77,89,27,2,0,1,0,1,0,0,0,0,"51107"
"1473","317 - Old Arcola Vfd",213,271,88,80,22,0,0,0,1,1,0,0,1,0,"51107"
"1474","401 - West Lovettsville",245,264,206,72,44,1,2,1,0,2,0,0,0,0,"51107"
"1475","402 - Waterford",238,238,119,90,36,2,1,0,1,1,0,0,0,0,"51107"
"1476","403 - Lucketts",275,276,153,105,35,2,0,0,2,1,1,0,2,0,"51107"
"1477","407 - Harper Park",104,181,62,40,10,6,2,0,0,0,0,1,0,0,"51107"
"1478","408 - Evergreen",142,177,88,43,44,3,3,0,0,3,1,0,0,0,"51107"
"1479","409 - Clarkes Gap",285,321,136,96,42,4,1,0,0,0,1,0,2,0,"51107"
"1480","411 - East Lovettsville",170,181,174,47,36,1,3,0,0,0,0,0,1,0,"51107"
"1481","413 - Tuscarora",5,15,6,8,2,0,0,0,0,0,0,0,0,0,"51107"
"1482","414 - Red Rock",95,156,58,29,11,0,1,0,0,0,0,0,0,0,"51107"
"1483","416 - Hamilton",278,384,184,116,56,3,1,2,0,2,0,0,1,0,"51107"
"1484","419 - J. L. Simpson",257,351,111,77,33,1,5,0,1,2,1,0,0,0,"51107"
"1485","420 - River Creek",237,276,99,109,27,4,0,0,1,1,0,0,1,0,"51107"
"1486","421 - Between The Hills",41,33,20,4,9,0,0,0,0,0,0,0,0,0,"51107"
"1487","501 - West Leesburg",155,237,87,92,34,2,4,0,0,1,0,0,0,0,"51107"
"1488","502 - East Leesburg",97,187,98,48,21,1,4,1,1,0,0,1,0,0,"51107"
"1489","503 - Dry Mill",85,137,46,53,22,3,2,1,0,0,1,1,1,0,"51107"
"1490","504 - Smarts Mill",143,252,101,75,23,1,4,0,1,0,0,0,0,0,"51107"
"1491","505 - Cool Spring",224,367,146,88,20,3,1,1,0,1,0,0,0,0,"51107"
"1492","506 - Brandon Park",84,124,49,17,14,0,1,0,0,0,0,0,0,0,"51107"
"1493","507 - Greenway",119,178,44,50,20,2,2,1,0,0,0,0,0,0,"51107"
"1494","508 - Balls Bluff",198,258,96,79,33,5,6,0,0,2,0,1,0,0,"51107"
"1495","509 - Tolbert",140,203,72,61,18,4,1,1,0,1,0,0,1,0,"51107"
"1496","510 - Heritage",141,222,83,71,28,1,0,0,0,0,0,0,0,0,"51107"
"1497","615 - Hillside",189,315,80,116,19,1,2,1,2,2,0,0,0,0,"51107"
"1498","616 - Eagle Ridge",170,364,77,93,10,4,1,0,0,0,0,0,0,0,"51107"
"1499","617 - Oak Grove",27,58,14,17,5,0,1,0,0,0,1,0,0,0,"51107"
"1500","619 - Ridgetop",37,45,18,7,7,0,0,0,0,0,1,0,0,0,"51107"
"1501","620 - Russell Branch",238,316,118,104,31,1,1,1,0,0,0,0,0,0,"51107"
"1502","621 - Dominion Trail",187,351,80,93,31,5,4,1,0,2,0,0,0,0,"51107"
"1503","622 - Farmwell Station",156,246,74,88,24,1,0,4,0,0,0,0,0,0,"51107"
"1504","623 - Weller",160,251,68,80,18,0,0,0,0,1,0,2,0,0,"51107"
"1505","625 - Mill Run",98,178,46,51,9,3,1,0,1,0,0,0,0,0,"51107"
"1506","626 - Ashby Ponds",90,152,38,111,9,4,0,1,1,2,0,3,0,0,"51107"
"1507","627 - Ashbrook",94,124,44,42,9,0,1,0,1,1,0,0,0,0,"51107"
"1508","628 - Moorefield Station",123,177,63,46,18,2,2,0,0,0,0,0,0,0,"51107"
"1509","629 - Discovery",36,66,21,12,9,0,1,0,0,0,0,0,0,0,"51107"
"1510","701 - Sully",140,171,78,20,36,6,3,1,0,0,1,0,0,0,"51107"
"1511","702 - Park View",131,103,60,23,27,2,0,0,0,0,2,1,0,0,"51107"
"1512","703 - Rolling Ridge",105,132,65,37,18,3,2,0,0,1,0,1,0,0,"51107"
"1513","705 - Forest Grove",215,193,96,60,25,4,4,1,1,1,0,1,1,0,"51107"
"1514","707 - Claude Moore Park",77,128,48,30,15,0,6,0,1,0,0,0,0,0,"51107"
"1515","708 - Seneca",154,200,90,68,11,2,2,0,1,0,0,0,0,0,"51107"
"1516","709 - Mirror Ridge",102,134,71,33,24,3,3,2,1,0,0,0,0,0,"51107"
"1517","710 - Sterling",105,129,55,28,16,2,2,1,0,0,0,0,0,0,"51107"
"1518","808 - Stone Bridge",237,396,127,101,41,1,0,1,3,0,1,0,1,0,"51107"
"1519","810 - Cedar Lane",174,262,71,79,31,2,2,0,0,0,0,0,1,0,"51107"
"1520","813 - Seldens Landing",113,137,63,52,14,2,0,0,0,0,0,0,0,0,"51107"
"1521","814 - Newton - Lee",267,355,71,112,26,2,1,0,0,0,1,1,1,0,"51107"
"1522","815 - Belmont Ridge",195,267,63,109,26,0,1,0,0,0,0,0,0,0,"51107"
"1523","817 - Sanders Corner",224,374,147,102,43,4,5,0,0,1,0,1,0,0,"51107"
"1524","818 - Broad Run",145,232,85,72,18,4,1,0,0,0,0,0,0,0,"51107"
"1525","819 - Heritage Church",148,227,88,63,24,1,1,0,0,1,0,0,1,0,"51107"
"1526","820 - Belmont Station",136,227,92,52,17,2,0,0,0,0,0,0,0,0,"51107"
"1527","822 - Riverside",113,173,58,63,18,0,1,0,2,2,0,0,0,0,"51107"
"1528","Ab - Central Absentee Precinct",407,587,199,200,65,22,5,1,6,3,0,0,0,1,"51107"
"1529","Provisional",7,9,5,1,0,0,1,0,0,0,0,0,0,0,"51107"
"1530","101 - Zion",165,187,131,45,31,0,3,1,2,1,0,0,0,0,"51109"
"1531","102 - Mechanicsville",123,64,59,16,14,2,1,0,0,0,1,0,0,0,"51109"
"1532","201 - Louisa #1",119,108,50,20,25,0,0,0,0,0,0,1,1,0,"51109"
"1533","202 - Louisa #2",136,85,59,16,16,3,0,0,2,0,0,0,1,0,"51109"
"1534","301 - Patrick Henry No 1",148,122,100,11,32,0,1,4,0,0,3,0,0,0,"51109"
"1535","302 - Patrick Henry #2",48,29,27,2,6,0,0,0,0,0,0,0,0,0,"51109"
"1536","401 - Mineral",284,136,100,22,24,0,2,0,1,1,0,0,1,0,"51109"
"1537","402 - Yanceyville",57,42,40,2,6,2,0,1,1,0,0,1,0,0,"51109"
"1538","501 - Fredericks Hall",76,31,22,16,12,0,1,0,0,0,0,0,0,0,"51109"
"1539","502 - Cuckoo",115,58,63,8,17,1,1,1,0,0,0,0,0,0,"51109"
"1540","503 - Elk Creek",124,70,37,35,6,0,1,0,0,0,0,0,0,0,"51109"
"1541","601 - Bumpass",170,67,90,15,33,2,0,0,0,0,0,0,0,0,"51109"
"1542","602 - Locust Creek",189,72,124,11,36,0,1,0,0,1,0,0,0,0,"51109"
"1543","701 - Sheltons Mill",163,90,132,11,21,2,2,1,1,2,0,0,1,0,"51109"
"1544","702 - South Anna",124,91,64,12,24,0,0,0,0,0,0,0,0,0,"51109"
"1545","Ab - Central Absentee Precinct",53,54,35,14,9,1,1,1,0,1,0,0,0,0,"51109"
"1546","Provisional",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"51109"
"1547","101 - Plymouth",86,62,25,7,32,0,0,0,0,0,0,0,0,0,"51111"
"1548","201 - Browns Store",92,55,19,5,24,0,1,0,0,1,0,0,0,0,"51111"
"1549","301 - Rosebud",60,20,22,7,16,0,0,0,0,0,1,0,0,0,"51111"
"1550","302 - Flat Rock",53,23,9,3,19,0,0,0,0,0,0,0,0,0,"51111"
"1551","401 - Arrowhead Gun Club",38,20,7,3,4,0,0,0,0,0,0,0,0,0,"51111"
"1552","402 - Pleasant Grove",58,18,36,3,26,0,0,0,0,0,0,0,0,0,"51111"
"1553","501 - Reedy Creek",38,14,12,0,7,0,0,0,0,1,0,0,0,0,"51111"
"1554","502 - Peoples Community Center",26,7,16,0,6,0,0,0,0,0,0,0,0,0,"51111"
"1555","601 - Hounds Creek",69,22,8,1,16,0,0,0,0,0,0,0,0,0,"51111"
"1556","701 - Meherrin Fire Department",50,18,6,4,5,1,0,0,0,0,0,0,0,0,"51111"
"1557","702 - Victoria Public Library",51,29,17,1,12,1,0,0,0,0,0,0,0,0,"51111"
"1558","Ab - Central Absentee Precinct",21,5,5,1,1,0,0,1,0,0,0,0,0,0,"51111"
"1559","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51111"
"1560","101 - First Ward First Precinct",186,186,321,30,84,2,4,1,0,1,0,0,1,0,"51680"
"1561","102 - First Ward Second Precinct",270,386,240,132,82,2,4,0,1,2,1,0,1,0,"51680"
"1562","103 - First Ward Third Precinct",188,257,127,127,41,2,1,0,1,1,0,0,0,0,"51680"
"1563","104 - First Ward Fourth Precinct",60,79,48,11,18,0,1,0,1,0,0,0,1,0,"51680"
"1564","105 - First Ward Fifth Precinct",82,135,94,39,35,0,3,0,0,1,0,0,0,0,"51680"
"1565","201 - Second Ward First Precinct",55,78,59,14,19,2,4,1,0,1,0,1,0,0,"51680"
"1566","202 - Second Ward Second Precinct",51,48,53,7,19,0,0,0,0,1,2,0,0,0,"51680"
"1567","203 - Second Ward Third Precinct",24,16,7,1,9,0,0,1,0,0,0,0,0,0,"51680"
"1568","204 - Second Ward Fourth Precinct",44,21,35,4,11,1,1,0,0,0,0,1,0,0,"51680"
"1569","301 - Third Ward First Precinct",73,76,96,5,33,0,1,0,0,0,1,0,0,0,"51680"
"1570","302 - Third Ward Second Precinct",90,513,387,14,162,1,8,1,0,0,0,0,0,0,"51680"
"1571","303 - Third Ward Third Precinct",89,92,122,8,48,0,2,2,0,0,0,0,0,0,"51680"
"1572","304 - Third Ward Fourth Precinct",102,91,122,11,48,0,5,1,0,0,0,0,0,0,"51680"
"1573","305 - Third Ward Fifth Precinct",198,269,305,40,129,1,0,1,0,0,1,1,0,0,"51680"
"1574","401 - Fourth Ward First Precinct",296,350,352,55,145,3,5,0,0,0,1,1,0,0,"51680"
"1575","402 - Fourth Ward Second Precinct",100,82,130,21,37,1,1,0,0,0,0,0,0,0,"51680"
"1576","403 - Fourth Ward Third Precinct",189,203,270,28,103,0,7,3,1,1,0,0,0,0,"51680"
"1577","404 - Fourth Ward Fourth Precinct",205,199,173,85,66,2,4,0,2,0,1,1,0,0,"51680"
"1578","Ab - Central Absentee Precinct",32,42,35,11,15,7,0,2,0,0,0,0,0,0,"51680"
"1579","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51680"
"1580","1 - Oak Park",94,48,51,15,18,0,0,1,0,0,0,0,0,0,"51113"
"1581","2 - Radiant",108,67,66,15,40,2,0,1,0,0,0,0,0,0,"51113"
"1582","3 - Rochelle",80,32,51,15,15,1,0,0,0,1,0,0,1,0,"51113"
"1583","4 - Graves Mill",15,5,7,5,3,0,0,0,0,0,0,0,1,0,"51113"
"1584","5 - Madison",158,83,70,28,47,0,0,2,0,0,0,1,0,0,"51113"
"1585","6 - Wolftown",96,40,36,12,17,0,1,2,0,0,0,0,0,0,"51113"
"1586","7 - Brightwood",190,73,97,19,60,1,0,1,1,1,0,0,0,0,"51113"
"1587","8 - Criglersville",90,38,45,16,13,0,0,1,0,0,0,0,0,0,"51113"
"1588","9 - Etlan",53,24,27,11,9,0,0,0,2,0,0,0,0,0,"51113"
"1589","Ab - Central Absentee Precinct",24,11,12,6,2,4,0,0,0,0,0,0,0,0,"51113"
"1590","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51113"
"1591","1 - Dean",368,325,195,64,68,1,1,0,1,0,0,1,0,0,"51683"
"1592","2 - Weems",239,177,138,40,39,1,2,2,0,1,0,0,0,0,"51683"
"1593","3 - Metz",262,210,136,47,34,4,3,1,1,1,0,0,0,0,"51683"
"1594","4 - Haydon",297,241,143,62,49,3,2,0,1,1,0,0,1,0,"51683"
"1595","5 - Baldwin",189,203,125,54,34,4,2,0,1,1,0,1,0,0,"51683"
"1596","Ab - Central Absentee Precinct",23,31,22,12,6,2,0,1,0,1,0,0,0,0,"51683"
"1597","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51683"
"1598","1 - Precinct One",108,99,46,28,28,0,0,0,0,0,0,0,0,0,"51685"
"1599","2 - Precinct Two",134,54,53,7,24,1,1,0,0,0,0,0,0,0,"51685"
"1600","3 - Precinct Three",93,102,78,18,21,1,1,0,0,1,0,0,0,0,"51685"
"1601","Ab - Central Absentee Precinct",28,10,4,6,2,0,0,0,0,0,0,0,0,0,"51685"
"1602","Provisional",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"51685"
"1603","1 - Precinct #1",4,1,0,1,5,0,0,0,0,0,0,0,0,0,"51690"
"1604","2 - Precinct #2",86,52,33,12,17,1,0,0,0,1,0,0,0,0,"51690"
"1605","3 - Precinct #3",46,12,19,1,6,1,0,0,0,0,0,0,0,0,"51690"
"1606","4 - Precinct #4",72,23,30,8,7,0,0,0,0,0,0,0,0,0,"51690"
"1607","5 - Precinct #5",199,149,82,58,33,2,0,0,0,0,1,0,0,0,"51690"
"1608","6 - Precinct #6",0,2,2,0,3,0,0,0,0,0,0,0,0,0,"51690"
"1609","Ab - Central Absentee Precinct",19,11,1,2,1,0,0,0,0,0,1,0,0,0,"51690"
"1610","Provisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51690"
"1611","1 - Chesapeake",203,102,47,27,30,3,0,0,2,0,1,1,0,0,"51115"
"1612","2 - Westville",266,166,85,37,38,1,0,0,0,0,0,1,0,0,"51115"
"1613","3 - Piankatank",254,193,121,50,52,4,1,0,1,2,1,1,0,0,"51115"
"1614","Ab - Central Absentee Precinct",39,18,16,7,3,0,0,0,1,0,0,0,0,0,"51115"
"1615","Provisional",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"51115"
"1616","101 - Wrights Store",40,21,23,9,10,0,0,0,1,0,0,0,0,0,"51117"
"1617","102 - Pearsons Store",34,12,8,8,6,0,0,0,0,0,0,0,0,0,"51117"
"1618","103 - South Clarksville",83,23,21,6,14,0,0,0,0,0,0,0,0,0,"51117"
"1619","201 - Boydton",62,23,18,4,7,0,0,0,1,0,0,0,0,0,"51117"
"1620","202 - Bluestone Senior High School",18,2,3,0,2,1,0,0,0,0,0,0,0,0,"51117"
"1621","203 - Chase City Vfw Post",27,9,10,0,5,0,0,0,0,0,0,0,0,0,"51117"
"1622","301 - Bracey",111,72,39,18,16,2,1,0,0,0,0,0,0,0,"51117"
"1623","302 - Lacrosse",59,15,13,5,12,1,0,2,0,0,0,0,0,1,"51117"
"1624","401 - American Legion Hall",84,26,20,4,10,0,0,0,0,0,0,0,1,0,"51117"
"1625","402 - Park View Middle School",5,4,9,0,1,0,0,0,0,0,0,0,0,0,"51117"
"1626","501 - South Hill",154,111,26,28,37,2,1,1,1,0,0,0,0,0,"51117"
"1627","601 - Baskerville",58,21,20,4,4,0,0,0,0,0,0,0,0,0,"51117"
"1628","602 - Union Level",47,23,10,2,5,0,1,1,0,0,0,0,0,0,"51117"
"1629","603 - Smith Crossroads",19,14,10,1,8,0,1,0,0,0,0,0,0,0,"51117"
"1630","604 - Lake Gaston",50,13,11,3,5,1,0,0,1,0,0,0,0,0,"51117"
"1631","701 - Chase City",84,31,12,1,5,1,1,0,1,0,0,0,0,0,"51117"
"1632","702 - Sunshine",64,28,22,4,8,0,0,0,0,0,0,0,0,0,"51117"
"1633","801 - Finchley",24,14,12,2,2,0,0,0,0,0,0,0,0,0,"51117"
"1634","802 - Bluestone",116,37,28,7,12,0,1,2,0,0,0,0,0,0,"51117"
"1635","803 - Chase City Elementary School",53,22,13,5,5,0,1,0,0,0,0,0,0,0,"51117"
"1636","901 - Averett",35,10,13,5,5,1,0,0,0,0,0,0,0,0,"51117"
"1637","902 - Buffalo Springs",51,26,19,5,13,1,0,0,0,0,0,0,0,0,"51117"
"1638","903 - Clarksville",214,97,63,37,24,0,3,0,0,0,0,1,0,0,"51117"
"1639","Ab - Central Absentee Precinct",23,20,8,0,1,2,0,0,0,0,0,0,0,0,"51117"
